time	ecart_critique	solde_stabilisant	solde_effectif	dette_maa
1995-10-01	0.027899198465844807	NA	-0.051109999999999996	0.5725701675926591
1996-01-01	0.02245256511403937	-0.009470622972640808	-0.03896	0.5822871101516787
1996-04-01	0.020540827945106532	-0.009636843652031562	-0.03896	0.5911186605192914
1996-07-01	0.018263639919826033	-0.009800444823491917	-0.03896	0.6001958440410338
1996-10-01	0.012637807149055158	-0.010002998250912047	-0.03896	0.6057239146310864
1997-01-01	0.009185600316741593	-0.009895006443535472	-0.03711	0.6083380917898283
1997-04-01	0.010544630646050462	-0.012307802000854694	-0.03711	0.6295660157826833
1997-07-01	0.008888598420987527	-0.016578357139349683	-0.03711	0.6296518174433157
1997-10-01	0.009300881381496817	-0.019685202541200174	-0.03711	0.6196366049122904
1998-01-01	0.0042766108314173865	-0.023863746816946623	-0.02391	0.6118267113319551
1998-04-01	0.004530272361178984	-0.025915227674546022	-0.02391	0.613461208334058
1998-07-01	8.635884684354417e-4	-0.02644683814772202	-0.02391	0.6259359089547769
1998-10-01	-0.0011586150140462867	-0.025334429199676607	-0.02391	0.6207352754480304
1999-01-01	7.604242829370028e-4	-0.02190095519921499	-0.01544	0.6234061058124621
1999-04-01	0.00415529508761666	-0.01914454232718019	-0.01544	0.6177317335796745
1999-07-01	0.01364137412842377	-0.018380376119739937	-0.01544	0.6205459005240842
1999-10-01	0.01686787239955105	-0.01985954471613125	-0.01544	0.6146820711392815
2000-01-01	0.020841199774030678	-0.02305850167852579	-0.01313	0.6050109458285883
2000-04-01	0.01946530945215124	-0.027103859355736375	-0.01313	0.6045222363626854
2000-07-01	0.02008949285099887	-0.03007854438141497	-0.01313	0.5982168931338361
2000-10-01	0.019241898897634828	-0.03128557989907562	-0.01313	0.5964172942038405
2001-01-01	0.014955399444753617	-0.03038512766963527	-0.01417	0.5864648861266724
2001-04-01	0.017549851932259976	-0.0271725404939119	-0.01417	0.5960940484781594
2001-07-01	0.01718415902622114	-0.024471074482537727	-0.01417	0.5973450163832685
2001-10-01	0.01361570190973991	-0.02072668552386772	-0.01417	0.5927875447349861
2002-01-01	0.017999166828964096	-0.018084738308230878	-0.031760000000000004	0.5963422010978972
2002-04-01	0.020453211839569232	-0.017031236386360775	-0.031760000000000004	0.6090139467860636
2002-07-01	0.015819742367035268	-0.016908069046585573	-0.031760000000000004	0.6065600138890307
2002-10-01	0.01436230463415239	-0.018020445057123476	-0.031760000000000004	0.6117446364776468
2003-01-01	0.01042106773596893	-0.018208883984604206	-0.04088	0.6272713851798104
2003-04-01	0.00764235301716687	-0.017319882766949422	-0.04088	0.6486799905778325
