date	pays	taux
1994-04-19	germany	6.561
1994-04-19	italy	NA
1994-04-20	france	NA
1994-04-20	germany	6.647
1994-04-20	italy	NA
1994-04-25	france	NA
1994-04-25	germany	6.735
1994-04-25	italy	NA
1994-04-26	france	NA
1994-04-26	germany	6.642
1994-04-26	italy	NA
1994-04-27	france	NA
1994-04-27	germany	6.556
1994-04-27	italy	NA
1994-04-28	france	NA
1994-04-28	germany	6.592
1994-04-28	italy	NA
1994-04-29	france	NA
1994-04-29	germany	6.535
1994-04-29	italy	NA
1994-05-02	france	NA
1994-05-02	germany	6.556
1994-05-02	italy	NA
1994-05-03	france	NA
1994-05-03	germany	6.579
1994-05-03	italy	NA
1994-05-04	france	NA
1994-05-04	germany	6.672
1994-05-04	italy	NA
1994-05-05	france	NA
1994-05-05	germany	6.681
1994-05-05	italy	NA
1994-05-06	france	NA
1994-05-06	germany	6.676
1994-05-06	italy	NA
1994-05-09	france	NA
1994-05-09	germany	6.745
1994-05-09	italy	NA
1994-05-10	france	NA
1994-05-10	germany	6.594
1994-05-10	italy	NA
1994-05-11	france	NA
1994-05-11	germany	6.616
1994-05-11	italy	NA
1994-05-13	france	NA
1994-05-13	germany	6.59
1994-05-13	italy	NA
1994-05-16	france	NA
1994-05-16	germany	6.514
1994-05-16	italy	NA
1994-05-17	france	NA
1994-05-17	germany	6.529
1994-05-17	italy	NA
1994-05-18	france	NA
1994-05-18	germany	6.465
1994-05-18	italy	NA
1994-05-19	france	NA
1994-05-19	germany	6.455
1994-05-19	italy	NA
1994-05-20	france	NA
1994-05-20	germany	6.534
1994-05-20	italy	NA
1994-05-24	france	NA
1994-05-24	germany	6.691
1994-05-24	italy	NA
1994-05-25	france	NA
1994-05-25	germany	6.811
1994-05-25	italy	NA
1994-05-26	france	NA
1994-05-26	germany	6.811
1994-05-26	italy	NA
1994-05-27	france	NA
1994-05-27	germany	6.847
1994-05-27	italy	NA
1994-05-30	france	NA
1994-05-30	germany	6.822
1994-05-30	italy	NA
1994-06-01	france	NA
1994-06-01	germany	7.087
1994-06-01	italy	NA
1994-06-03	france	NA
1994-06-03	germany	6.919
1994-06-03	italy	NA
1994-06-06	france	NA
1994-06-06	germany	6.983
1994-06-06	italy	NA
1994-06-07	france	NA
1994-06-07	germany	7.021
1994-06-07	italy	NA
1994-06-08	france	NA
1994-06-08	germany	6.93
1994-06-08	italy	NA
1994-06-09	france	NA
1994-06-09	germany	6.944
1994-06-09	italy	NA
1994-06-10	france	NA
1994-06-10	germany	6.861
1994-06-10	italy	NA
1994-06-13	france	NA
1994-06-13	germany	7.033
1994-06-13	italy	NA
1994-06-14	france	NA
1994-06-14	germany	7.037
1994-06-14	italy	NA
1994-06-15	france	NA
1994-06-15	germany	7.106
1994-06-15	italy	NA
1994-06-16	france	NA
1994-06-16	germany	7.176
1994-06-16	italy	NA
1994-06-17	france	NA
1994-06-17	germany	7.198
1994-06-17	italy	NA
1994-06-20	france	NA
1994-06-20	germany	7.315
1994-06-20	italy	NA
1994-06-21	france	NA
1994-06-21	germany	7.329
1994-06-21	italy	NA
1994-06-22	france	NA
1994-06-22	germany	7.225
1994-06-22	italy	NA
1994-06-23	france	NA
1994-06-23	germany	7.013
1994-06-23	italy	NA
1994-06-24	france	NA
1994-06-24	germany	7.088
1994-06-24	italy	NA
1994-06-27	france	NA
1994-06-27	germany	7.033
1994-06-27	italy	NA
1994-06-28	france	NA
1994-06-28	germany	6.99
1994-06-28	italy	NA
1994-06-29	france	NA
1994-06-29	germany	6.968
1994-06-29	italy	NA
1994-06-30	france	NA
1994-06-30	germany	7.056
1994-06-30	italy	NA
1994-07-01	france	NA
1994-07-01	germany	7.068
1994-07-01	italy	NA
1994-07-04	france	NA
1994-07-04	germany	7.026
1994-07-04	italy	NA
1994-07-05	france	NA
1994-07-05	germany	7.075
1994-07-05	italy	NA
1994-07-06	france	NA
1994-07-06	germany	7.049
1994-07-06	italy	NA
1994-07-07	france	NA
1994-07-07	germany	7.065
1994-07-07	italy	NA
1994-07-08	france	NA
1994-07-08	germany	7.005
1994-07-08	italy	NA
1994-07-11	france	NA
1994-07-11	germany	6.882
1994-07-11	italy	NA
1994-07-12	france	NA
1994-07-12	germany	6.848
1994-07-12	italy	NA
1994-07-13	france	NA
1994-07-13	germany	6.89
1994-07-13	italy	NA
1994-07-14	france	NA
1994-07-14	germany	6.738
1994-07-14	italy	NA
1994-07-15	france	NA
1994-07-15	germany	6.815
1994-07-15	italy	NA
1994-07-18	france	NA
1994-07-18	germany	6.751
1994-07-18	italy	NA
1994-07-19	france	NA
1994-07-19	germany	6.708
1994-07-19	italy	NA
1994-07-20	france	NA
1994-07-20	germany	6.826
1994-07-20	italy	NA
1994-07-21	france	NA
1994-07-21	germany	6.786
1994-07-21	italy	NA
1994-07-22	france	NA
1994-07-22	germany	6.836
1994-07-22	italy	NA
1994-07-25	france	NA
1994-07-25	germany	6.773
1994-07-25	italy	NA
1994-07-26	france	NA
1994-07-26	germany	6.811
1994-07-26	italy	NA
1994-07-27	france	NA
1994-07-27	germany	6.86
1994-07-27	italy	NA
1994-07-28	france	NA
1994-07-28	germany	6.905
1994-07-28	italy	NA
1994-07-29	france	NA
1994-07-29	germany	6.821
1994-07-29	italy	NA
1994-08-01	france	NA
1994-08-01	germany	6.818
1994-08-01	italy	NA
1994-08-02	france	NA
1994-08-02	germany	6.781
1994-08-02	italy	NA
1994-08-03	france	NA
1994-08-03	germany	6.781
1994-08-03	italy	NA
1994-08-04	france	NA
1994-08-04	germany	6.85
1994-08-04	italy	NA
1994-08-05	france	NA
1994-08-05	germany	6.869
1994-08-05	italy	NA
1994-08-08	france	NA
1994-08-08	germany	6.928
1994-08-08	italy	NA
1994-08-09	france	NA
1994-08-09	germany	7.012
1994-08-09	italy	NA
1994-08-10	france	NA
1994-08-10	germany	7.01
1994-08-10	italy	NA
1994-08-11	france	NA
1994-08-11	germany	7.2
1994-08-11	italy	NA
1994-08-12	france	NA
1994-08-12	germany	7.188
1994-08-12	italy	NA
1994-08-15	france	NA
1994-08-15	germany	7.204
1994-08-15	italy	NA
1994-08-16	france	NA
1994-08-16	germany	7.157
1994-08-16	italy	NA
1994-08-17	france	NA
1994-08-17	germany	7.212
1994-08-17	italy	NA
1994-08-18	france	NA
1994-08-18	germany	7.19
1994-08-18	italy	NA
1994-08-19	france	NA
1994-08-19	germany	7.241
1994-08-19	italy	NA
1994-08-22	france	NA
1994-08-22	germany	7.294
1994-08-22	italy	NA
1994-08-23	france	NA
1994-08-23	germany	7.253
1994-08-23	italy	NA
1994-08-24	france	NA
1994-08-24	germany	7.259
1994-08-24	italy	NA
1994-08-25	france	NA
1994-08-25	germany	7.232
1994-08-25	italy	NA
1994-08-26	france	NA
1994-08-26	germany	7.152
1994-08-26	italy	NA
1994-08-29	france	NA
1994-08-29	germany	7.176
1994-08-29	italy	NA
1994-08-30	france	NA
1994-08-30	germany	7.212
1994-08-30	italy	NA
1994-08-31	france	NA
1994-08-31	germany	7.217
1994-08-31	italy	NA
1994-09-01	france	NA
1994-09-01	germany	7.287
1994-09-01	italy	NA
1994-09-02	france	NA
1994-09-02	germany	7.345
1994-09-02	italy	NA
1994-09-05	france	NA
