date	pays	taux
1998-12-08	italy	NA
1998-12-09	france	3.863
1998-12-09	germany	3.808
1998-12-09	italy	4.017
1998-12-10	france	3.837
1998-12-10	germany	3.787
1998-12-10	italy	3.98
1998-12-11	france	3.872
1998-12-11	germany	3.792
1998-12-11	italy	3.967
1998-12-12	france	NA
1998-12-12	germany	3.79
1998-12-12	italy	NA
1998-12-13	france	NA
1998-12-13	germany	3.79
1998-12-13	italy	NA
1998-12-14	france	3.861
1998-12-14	germany	3.824
1998-12-14	italy	4.008
1998-12-15	france	3.88
1998-12-15	germany	3.851
1998-12-15	italy	3.999
1998-12-16	france	3.881
1998-12-16	germany	3.878
1998-12-16	italy	4.025
1998-12-17	france	3.884
1998-12-17	germany	3.861
1998-12-17	italy	4.013
1998-12-18	france	3.828
1998-12-18	germany	3.832
1998-12-18	italy	3.973
1998-12-21	france	3.862
1998-12-21	germany	3.859
1998-12-21	italy	4.005
1998-12-22	france	3.932
1998-12-22	germany	3.936
1998-12-22	italy	4.057
1998-12-23	france	3.946
1998-12-23	germany	3.91
1998-12-23	italy	3.995
1998-12-24	france	NA
1998-12-24	germany	3.899
1998-12-24	italy	NA
1998-12-28	france	3.951
1998-12-28	germany	3.935
1998-12-28	italy	4.075
1998-12-29	france	3.887
1998-12-29	germany	3.881
1998-12-29	italy	4.038
1998-12-30	france	3.869
1998-12-30	germany	3.863
1998-12-30	italy	4.036
1999-01-02	france	NA
1999-01-02	germany	3.863
1999-01-02	italy	NA
1999-01-03	france	NA
1999-01-03	germany	3.863
1999-01-03	italy	NA
1999-01-04	france	3.745
1999-01-04	germany	3.748
1999-01-04	italy	3.94
1999-01-05	france	3.697
1999-01-05	germany	3.791
1999-01-05	italy	3.932
1999-01-06	france	3.771
1999-01-06	germany	3.768
1999-01-06	italy	3.93
1999-01-07	france	3.817
1999-01-07	germany	3.711
1999-01-07	italy	3.927
1999-01-08	france	3.815
1999-01-08	germany	3.714
1999-01-08	italy	3.93
1999-01-11	france	3.834
1999-01-11	germany	3.724
1999-01-11	italy	3.961
1999-01-12	france	3.871
1999-01-12	germany	3.805
1999-01-12	italy	4
1999-01-13	france	3.778
1999-01-13	germany	3.672
1999-01-13	italy	3.928
1999-01-14	france	3.769
1999-01-14	germany	3.712
1999-01-14	italy	3.939
1999-01-15	france	3.752
1999-01-15	germany	3.677
1999-01-15	italy	3.942
1999-01-16	france	NA
1999-01-16	germany	3.683
1999-01-16	italy	NA
1999-01-17	france	NA
1999-01-17	germany	3.695
1999-01-17	italy	NA
1999-01-18	france	3.761
1999-01-18	germany	3.663
1999-01-18	italy	3.934
1999-01-19	france	3.761
1999-01-19	germany	3.657
1999-01-19	italy	3.906
1999-01-20	france	3.781
1999-01-20	germany	3.678
1999-01-20	italy	3.92
1999-01-21	france	3.648
1999-01-21	germany	3.673
1999-01-21	italy	3.914
1999-01-22	france	3.715
1999-01-22	germany	3.648
1999-01-22	italy	3.891
1999-01-25	france	3.71
1999-01-25	germany	3.629
1999-01-25	italy	3.897
1999-01-27	france	3.722
1999-01-27	germany	3.662
1999-01-27	italy	3.913
1999-01-28	france	3.719
1999-01-28	germany	3.645
1999-01-28	italy	3.895
1999-01-29	france	3.712
1999-01-29	germany	3.637
1999-01-29	italy	3.884
1999-01-30	france	NA
1999-01-30	germany	3.635
1999-01-30	italy	NA
1999-01-31	france	NA
1999-01-31	germany	3.635
1999-01-31	italy	NA
1999-02-01	france	3.747
1999-02-01	germany	3.693
1999-02-01	italy	3.9
1999-02-02	france	3.777
1999-02-02	germany	3.71
1999-02-02	italy	3.935
1999-02-03	france	3.806
1999-02-03	germany	3.75
1999-02-03	italy	3.961
1999-02-04	france	3.836
1999-02-04	germany	3.822
1999-02-04	italy	3.996
1999-02-05	france	3.854
1999-02-05	germany	3.776
1999-02-05	italy	4.001
1999-02-06	france	NA
1999-02-06	germany	3.781
1999-02-06	italy	NA
1999-02-08	france	3.926
1999-02-08	germany	3.855
1999-02-08	italy	4.057
1999-02-09	france	3.872
1999-02-09	germany	3.787
1999-02-09	italy	4.016
1999-02-10	france	3.859
1999-02-10	germany	3.79
1999-02-10	italy	3.983
1999-02-11	france	3.855
1999-02-11	germany	3.805
1999-02-11	italy	4.005
1999-02-12	france	3.86
1999-02-12	germany	3.841
1999-02-12	italy	4.002
1999-02-13	france	NA
1999-02-13	germany	3.865
1999-02-13	italy	NA
1999-02-15	france	3.938
1999-02-15	germany	3.926
1999-02-15	italy	4.124
1999-02-16	france	3.962
1999-02-16	germany	3.88
1999-02-16	italy	4.111
1999-02-17	france	3.984
1999-02-17	germany	3.893
1999-02-17	italy	4.138
1999-02-18	france	3.95
1999-02-18	germany	3.884
1999-02-18	italy	4.109
1999-02-19	france	3.987
1999-02-19	germany	3.902
1999-02-19	italy	4.125
1999-02-20	france	NA
1999-02-20	germany	3.899
1999-02-20	italy	NA
1999-02-22	france	3.968
1999-02-22	germany	3.879
1999-02-22	italy	4.127
1999-02-23	france	3.926
1999-02-23	germany	3.85
1999-02-23	italy	4.081
1999-02-24	france	3.932
1999-02-24	germany	3.862
1999-02-24	italy	4.095
1999-02-25	france	4.001
1999-02-25	germany	3.908
1999-02-25	italy	4.153
1999-02-26	france	4.076
1999-02-26	germany	3.997
1999-02-26	italy	4.232
1999-02-27	france	NA
1999-02-27	germany	4.009
1999-02-27	italy	NA
1999-02-28	france	NA
1999-02-28	germany	4.001
1999-02-28	italy	NA
1999-03-01	france	4.097
1999-03-01	germany	4.091
1999-03-01	italy	4.276
1999-03-02	france	4.182
1999-03-02	germany	4.084
1999-03-02	italy	4.321
1999-03-03	france	4.154
1999-03-03	germany	4.103
1999-03-03	italy	4.322
1999-03-04	france	4.159
1999-03-04	germany	4.166
1999-03-04	italy	4.426
1999-03-05	france	4.103
1999-03-05	germany	4.153
1999-03-05	italy	4.319
1999-03-06	france	NA
1999-03-06	germany	4.007
1999-03-06	italy	NA
1999-03-07	france	NA
1999-03-07	germany	4.007
1999-03-07	italy	NA
1999-03-08	france	4.133
1999-03-08	germany	4.038
1999-03-08	italy	4.292
1999-03-09	france	4.168
1999-03-09	germany	4.098
1999-03-09	italy	4.329
1999-03-10	france	4.165
1999-03-10	germany	4.066
1999-03-10	italy	4.319
1999-03-11	france	4.163
1999-03-11	germany	4.079
1999-03-11	italy	4.309
1999-03-12	france	4.091
1999-03-12	germany	4.023
1999-03-12	italy	4.253
1999-03-13	france	NA
1999-03-13	germany	4.016
1999-03-13	italy	NA
1999-03-14	france	NA
1999-03-14	germany	4.037
1999-03-14	italy	NA
1999-03-15	france	4.086
1999-03-15	germany	4.006
1999-03-15	italy	4.273
1999-03-16	france	4.083
1999-03-16	germany	4.008
1999-03-16	italy	4.259
1999-03-17	france	4.041
1999-03-17	germany	3.936
1999-03-17	italy	4.197
1999-03-18	france	4.026
1999-03-18	germany	3.921
1999-03-18	italy	4.182
1999-03-19	france	4.018
1999-03-19	germany	3.915
1999-03-19	italy	4.161
1999-03-20	france	NA
1999-03-20	germany	3.906
1999-03-20	italy	NA
1999-03-21	france	NA
1999-03-21	germany	3.916
1999-03-21	italy	NA
1999-03-22	france	4.077
1999-03-22	germany	3.968
1999-03-22	italy	4.222
1999-03-23	france	4.061
1999-03-23	germany	3.996
1999-03-23	italy	4.248
1999-03-24	france	4.073
1999-03-24	germany	3.995
1999-03-24	italy	4.237
1999-03-25	france	4.073
1999-03-25	germany	3.968
1999-03-25	italy	4.224
1999-03-26	france	4.11
1999-03-26	germany	4.04
1999-03-26	italy	4.274
1999-03-27	france	NA
1999-03-27	germany	4.032
1999-03-27	italy	NA
1999-03-28	france	NA
1999-03-28	germany	4.032
1999-03-28	italy	NA
1999-03-29	france	4.185
1999-03-29	germany	4.061
1999-03-29	italy	4.333
1999-03-30	france	4.16
1999-03-30	germany	4.045
1999-03-30	italy	4.336
1999-03-31	france	4.102
1999-03-31	germany	3.994
1999-03-31	italy	4.266
1999-04-01	france	4.093
1999-04-01	germany	3.993
1999-04-01	italy	4.246
1999-04-02	france	4.102
1999-04-02	germany	4.018
1999-04-02	italy	4.245
1999-04-05	france	4.102
1999-04-05	germany	4.049
1999-04-05	italy	4.198
1999-04-06	france	4.038
1999-04-06	germany	3.948
1999-04-06	italy	4.189
1999-04-07	france	4
1999-04-07	germany	3.897
1999-04-07	italy	4.156
1999-04-08	france	3.975
1999-04-08	germany	3.906
1999-04-08	italy	4.148
1999-04-09	france	3.923
1999-04-09	germany	3.844
1999-04-09	italy	4.085
1999-04-10	france	NA
1999-04-10	germany	3.842
1999-04-10	italy	NA
1999-04-11	france	NA
1999-04-11	germany	3.841
1999-04-11	italy	NA
1999-04-12	france	3.891
1999-04-12	germany	3.802
1999-04-12	italy	4.049
1999-04-13	france	3.909
1999-04-13	germany	3.808
1999-04-13	italy	4.07
1999-04-14	france	3.926
1999-04-14	germany	3.832
1999-04-14	italy	4.09
1999-04-15	france	3.926
1999-04-15	germany	3.811
1999-04-15	italy	4.09
1999-04-16	france	3.981
1999-04-16	germany	3.873
1999-04-16	italy	4.143
1999-04-17	france	NA
1999-04-17	germany	3.866
1999-04-17	italy	NA
1999-04-18	france	NA
1999-04-18	germany	3.867
1999-04-18	italy	NA
1999-04-19	france	3.964
1999-04-19	germany	3.902
1999-04-19	italy	4.165
1999-04-20	france	3.923
1999-04-20	germany	3.845
1999-04-20	italy	4.091
1999-04-21	france	3.919
1999-04-21	germany	3.834
1999-04-21	italy	4.081
1999-04-22	france	3.919
1999-04-22	germany	3.822
1999-04-22	italy	4.092
1999-04-23	france	3.919
1999-04-23	germany	3.854
1999-04-23	italy	4.117
1999-04-24	france	NA
1999-04-24	germany	3.85
1999-04-24	italy	NA
1999-04-26	france	3.957
1999-04-26	germany	3.879
1999-04-26	italy	4.134
1999-04-27	france	3.92
1999-04-27	germany	3.859
1999-04-27	italy	4.12
1999-04-28	france	3.932
1999-04-28	germany	3.872
1999-04-28	italy	4.122
1999-04-29	france	3.932
1999-04-29	germany	3.836
1999-04-29	italy	4.117
1999-04-30	france	3.901
1999-04-30	germany	3.834
1999-04-30	italy	4.093
1999-05-01	france	NA
1999-05-01	germany	3.874
1999-05-01	italy	NA
1999-05-03	france	3.95
1999-05-03	germany	3.906
1999-05-03	italy	4.159
1999-05-04	france	3.926
1999-05-04	germany	3.883
1999-05-04	italy	4.154
1999-05-05	france	4.062
1999-05-05	germany	3.956
1999-05-05	italy	4.212
1999-05-06	france	4.062
1999-05-06	germany	3.935
1999-05-06	italy	4.222
1999-05-07	france	4.09
1999-05-07	germany	4.019
1999-05-07	italy	4.257
1999-05-08	france	NA
1999-05-08	germany	3.991
1999-05-08	italy	NA
1999-05-09	france	NA
1999-05-09	germany	3.993
1999-05-09	italy	NA
1999-05-10	france	4.104
1999-05-10	germany	4.027
1999-05-10	italy	4.289
1999-05-11	france	4.124
1999-05-11	germany	4.04
1999-05-11	italy	4.279
1999-05-12	france	4.161
1999-05-12	germany	4.078
1999-05-12	italy	4.332
1999-05-13	france	4.12
1999-05-13	germany	4.024
1999-05-13	italy	4.279
1999-05-14	france	4.168
1999-05-14	germany	4.149
1999-05-14	italy	4.308
1999-05-15	france	NA
1999-05-15	germany	4.149
1999-05-15	italy	NA
1999-05-16	france	NA
1999-05-16	germany	4.147
1999-05-16	italy	NA
1999-05-17	france	4.174
1999-05-17	germany	4.149
1999-05-17	italy	4.392
1999-05-18	france	4.216
1999-05-18	germany	4.131
1999-05-18	italy	4.376
1999-05-19	france	4.23
1999-05-19	germany	4.118
1999-05-19	italy	4.377
1999-05-20	france	4.187
1999-05-20	germany	4.082
1999-05-20	italy	4.341
1999-05-21	france	4.158
1999-05-21	germany	4.057
1999-05-21	italy	4.33
1999-05-22	france	NA
1999-05-22	germany	4.028
1999-05-22	italy	NA
1999-05-24	france	4.148
1999-05-24	germany	4.033
1999-05-24	italy	4.287
1999-05-25	france	4.141
1999-05-25	germany	4.02
1999-05-25	italy	4.291
1999-05-26	france	4.153
1999-05-26	germany	4.017
1999-05-26	italy	4.319
1999-05-27	france	4.205
1999-05-27	germany	4.079
1999-05-27	italy	4.378
1999-05-28	france	4.219
1999-05-28	germany	4.089
1999-05-28	italy	4.417
1999-05-29	france	NA
1999-05-29	germany	4.102
1999-05-29	italy	NA
1999-05-31	france	4.233
1999-05-31	germany	4.129
1999-05-31	italy	4.442
1999-06-01	france	4.321
1999-06-01	germany	4.212
1999-06-01	italy	4.504
1999-06-02	france	4.379
1999-06-02	germany	4.259
1999-06-02	italy	4.567
1999-06-03	france	4.347
1999-06-03	germany	4.256
1999-06-03	italy	4.545
1999-06-04	france	4.39
1999-06-04	germany	4.271
1999-06-04	italy	4.585
1999-06-05	france	NA
1999-06-05	germany	4.269
1999-06-05	italy	NA
1999-06-07	france	4.356
1999-06-07	germany	4.301
1999-06-07	italy	4.585
1999-06-08	france	4.356
1999-06-08	germany	4.233
1999-06-08	italy	4.531
1999-06-09	france	4.398
1999-06-09	germany	4.26
1999-06-09	italy	4.531
1999-06-10	france	4.528
1999-06-10	germany	4.287
1999-06-10	italy	4.621
1999-06-11	france	4.511
1999-06-11	germany	4.407
1999-06-11	italy	4.664
1999-06-13	france	NA
1999-06-13	germany	4.343
1999-06-13	italy	NA
1999-06-14	france	4.518
1999-06-14	germany	4.355
1999-06-14	italy	4.675
1999-06-15	france	4.471
1999-06-15	germany	4.29
1999-06-15	italy	4.619
1999-06-16	france	4.427
1999-06-16	germany	4.295
1999-06-16	italy	4.577
1999-06-17	france	4.357
1999-06-17	germany	4.278
1999-06-17	italy	4.555
1999-06-18	france	4.378
1999-06-18	germany	4.206
1999-06-18	italy	4.506
1999-06-21	france	4.438
1999-06-21	germany	4.21
1999-06-21	italy	4.549
1999-06-22	france	4.534
1999-06-22	germany	4.381
1999-06-22	italy	4.662
1999-06-23	france	4.607
1999-06-23	germany	4.45
1999-06-23	italy	4.736
1999-06-24	france	4.703
1999-06-24	germany	4.563
1999-06-24	italy	4.782
1999-06-25	france	4.671
1999-06-25	germany	4.614
1999-06-25	italy	4.87
1999-06-26	france	NA
1999-06-26	germany	4.528
1999-06-26	italy	NA
1999-06-27	france	NA
1999-06-27	germany	4.528
1999-06-27	italy	NA
1999-06-28	france	4.681
1999-06-28	germany	4.547
1999-06-28	italy	4.9
1999-06-29	france	4.655
1999-06-29	germany	4.56
1999-06-29	italy	4.83
1999-06-30	france	4.676
1999-06-30	germany	4.48
1999-06-30	italy	4.809
1999-07-01	france	4.717
1999-07-01	germany	4.492
1999-07-01	italy	4.765
1999-07-02	france	4.737
1999-07-02	germany	4.613
1999-07-02	italy	4.896
1999-07-03	france	NA
1999-07-03	germany	4.584
1999-07-03	italy	NA
1999-07-04	france	NA
1999-07-04	germany	4.584
1999-07-04	italy	NA
1999-07-05	france	4.752
1999-07-05	germany	4.604
1999-07-05	italy	4.872
1999-07-06	france	4.833
1999-07-06	germany	4.679
1999-07-06	italy	4.974
1999-07-07	france	4.886
1999-07-07	germany	4.707
1999-07-07	italy	4.992
1999-07-08	france	4.959
1999-07-08	germany	4.721
1999-07-08	italy	5.062
1999-07-09	france	4.876
1999-07-09	germany	4.7
1999-07-09	italy	4.987
1999-07-10	france	NA
1999-07-10	germany	4.719
1999-07-10	italy	NA
1999-07-11	france	NA
1999-07-11	germany	4.719
1999-07-11	italy	NA
1999-07-12	france	4.842
1999-07-12	germany	4.708
1999-07-12	italy	4.97
1999-07-13	france	4.744
1999-07-13	germany	4.612
1999-07-13	italy	4.893
1999-07-14	france	4.783
1999-07-14	germany	4.669
1999-07-14	italy	4.91
1999-07-15	france	4.82
1999-07-15	germany	4.646
1999-07-15	italy	4.902
1999-07-16	france	4.88
1999-07-16	germany	4.751
1999-07-16	italy	5.03
1999-07-17	france	NA
1999-07-17	germany	4.749
1999-07-17	italy	NA
1999-07-19	france	4.893
1999-07-19	germany	4.795
1999-07-19	italy	5.026
1999-07-20	france	4.833
1999-07-20	germany	4.752
1999-07-20	italy	4.974
1999-07-21	france	4.731
1999-07-21	germany	4.615
1999-07-21	italy	4.879
1999-07-22	france	4.729
1999-07-22	germany	4.624
1999-07-22	italy	4.846
1999-07-23	france	4.786
1999-07-23	germany	4.68
1999-07-23	italy	4.922
1999-07-24	france	NA
1999-07-24	germany	4.675
1999-07-24	italy	NA
1999-07-25	france	NA
1999-07-25	germany	4.684
1999-07-25	italy	NA
1999-07-26	france	4.802
1999-07-26	germany	4.685
1999-07-26	italy	4.946
1999-07-27	france	4.804
1999-07-27	germany	4.686
1999-07-27	italy	4.93
1999-07-28	france	4.821
1999-07-28	germany	4.694
1999-07-28	italy	4.944
1999-07-29	france	4.91
1999-07-29	germany	4.75
1999-07-29	italy	5.008
1999-07-30	france	4.946
1999-07-30	germany	4.77
1999-07-30	italy	5.044
1999-07-31	france	NA
1999-07-31	germany	4.825
1999-07-31	italy	NA
1999-08-02	france	5.041
1999-08-02	germany	4.879
1999-08-02	italy	5.186
1999-08-03	france	5.046
1999-08-03	germany	4.942
1999-08-03	italy	5.204
1999-08-04	france	5.038
1999-08-04	germany	4.916
1999-08-04	italy	5.163
1999-08-05	france	5.118
1999-08-05	germany	4.976
1999-08-05	italy	5.226
1999-08-06	france	5.157
1999-08-06	germany	5.042
1999-08-06	italy	5.268
1999-08-07	france	NA
1999-08-07	germany	5.05
1999-08-07	italy	NA
1999-08-08	france	NA
1999-08-08	germany	5.055
1999-08-08	italy	NA
1999-08-09	france	5.202
1999-08-09	germany	5.048
1999-08-09	italy	5.356
1999-08-10	france	5.144
1999-08-10	germany	5.048
1999-08-10	italy	5.332
1999-08-11	france	5.105
1999-08-11	germany	4.974
1999-08-11	italy	5.26
1999-08-12	france	5.048
1999-08-12	germany	4.897
1999-08-12	italy	5.188
1999-08-13	france	5
1999-08-13	germany	4.879
1999-08-13	italy	5.177
1999-08-14	france	NA
1999-08-14	germany	4.877
1999-08-14	italy	NA
1999-08-15	france	NA
1999-08-15	germany	4.877
1999-08-15	italy	NA
1999-08-16	france	5.041
1999-08-16	germany	4.913
1999-08-16	italy	5.174
1999-08-17	france	4.993
1999-08-17	germany	4.931
1999-08-17	italy	5.156
1999-08-18	france	4.999
1999-08-18	germany	4.847
1999-08-18	italy	5.096
1999-08-19	france	4.972
1999-08-19	germany	4.845
1999-08-19	italy	5.097
1999-08-20	france	4.958
1999-08-20	germany	4.836
1999-08-20	italy	5.086
1999-08-21	france	NA
1999-08-21	germany	4.815
1999-08-21	italy	NA
1999-08-23	france	4.906
1999-08-23	germany	4.783
1999-08-23	italy	5.039
1999-08-24	france	4.926
1999-08-24	germany	4.812
1999-08-24	italy	5.077
1999-08-25	france	4.896
1999-08-25	germany	4.751
1999-08-25	italy	5.047
1999-08-26	france	4.874
1999-08-26	germany	4.708
1999-08-26	italy	5.01
1999-08-27	france	4.921
1999-08-27	germany	4.793
1999-08-27	italy	5.082
1999-08-28	france	NA
1999-08-28	germany	4.794
1999-08-28	italy	NA
1999-08-29	france	NA
1999-08-29	germany	4.801
1999-08-29	italy	NA
1999-08-30	france	5.001
1999-08-30	germany	4.866
1999-08-30	italy	5.154
1999-08-31	france	5.034
1999-08-31	germany	4.904
1999-08-31	italy	5.173
1999-09-01	france	5.081
1999-09-01	germany	4.938
1999-09-01	italy	5.204
1999-09-02	france	5.17
1999-09-02	germany	5.033
1999-09-02	italy	5.271
1999-09-03	france	5.092
1999-09-03	germany	4.997
1999-09-03	italy	5.248
1999-09-04	france	NA
1999-09-04	germany	4.933
1999-09-04	italy	NA
1999-09-06	france	5.079
1999-09-06	germany	4.931
1999-09-06	italy	5.196
1999-09-07	france	5.164
1999-09-07	germany	4.96
1999-09-07	italy	5.252
1999-09-08	france	5.188
1999-09-08	germany	4.983
1999-09-08	italy	5.328
1999-09-09	france	5.216
1999-09-09	germany	5.056
1999-09-09	italy	5.315
1999-09-10	france	5.199
1999-09-10	germany	5.061
1999-09-10	italy	5.331
1999-09-11	france	NA
1999-09-11	germany	5.044
1999-09-11	italy	NA
1999-09-12	france	NA
1999-09-12	germany	5.044
1999-09-12	italy	NA
1999-09-13	france	5.245
1999-09-13	germany	5.084
1999-09-13	italy	5.37
1999-09-14	france	5.273
1999-09-14	germany	5.15
1999-09-14	italy	5.369
1999-09-15	france	5.281
1999-09-15	germany	5.16
1999-09-15	italy	5.413
1999-09-16	france	5.261
1999-09-16	germany	5.137
1999-09-16	italy	5.413
1999-09-17	france	5.173
1999-09-17	germany	5.033
1999-09-17	italy	5.317
1999-09-18	france	NA
1999-09-18	germany	5.055
1999-09-18	italy	NA
1999-09-19	france	NA
1999-09-19	germany	5.055
1999-09-19	italy	NA
1999-09-20	france	5.218
1999-09-20	germany	5.037
1999-09-20	italy	5.297
1999-09-21	france	5.235
1999-09-21	germany	5.111
1999-09-21	italy	5.372
1999-09-22	france	5.218
1999-09-22	germany	5.072
1999-09-22	italy	5.345
1999-09-23	france	5.22
1999-09-23	germany	5.099
1999-09-23	italy	5.363
1999-09-24	france	5.132
1999-09-24	germany	4.997
1999-09-24	italy	5.262
1999-09-25	france	NA
1999-09-25	germany	4.984
1999-09-25	italy	NA
1999-09-26	france	NA
1999-09-26	germany	5.006
1999-09-26	italy	NA
1999-09-27	france	5.153
1999-09-27	germany	5.008
1999-09-27	italy	5.279
1999-09-28	france	5.189
1999-09-28	germany	5.044
1999-09-28	italy	5.324
1999-09-29	france	5.252
1999-09-29	germany	5.105
1999-09-29	italy	5.37
1999-09-30	france	5.258
1999-09-30	germany	5.129
1999-09-30	italy	5.377
1999-10-01	france	5.321
1999-10-01	germany	5.158
1999-10-01	italy	5.409
1999-10-04	france	5.33
1999-10-04	germany	5.182
1999-10-04	italy	5.445
1999-10-05	france	5.315
1999-10-05	germany	5.181
1999-10-05	italy	5.433
1999-10-06	france	5.324
1999-10-06	germany	5.182
1999-10-06	italy	5.456
1999-10-07	france	5.325
1999-10-07	germany	5.205
1999-10-07	italy	5.488
1999-10-08	france	5.342
1999-10-08	germany	5.204
1999-10-08	italy	5.467
1999-10-09	france	NA
1999-10-09	germany	5.228
1999-10-09	italy	NA
1999-10-10	france	NA
1999-10-10	germany	5.228
1999-10-10	italy	NA
1999-10-11	france	5.359
1999-10-11	germany	5.237
1999-10-11	italy	5.491
1999-10-12	france	5.455
1999-10-12	germany	5.26
1999-10-12	italy	5.538
1999-10-13	france	5.441
1999-10-13	germany	5.312
1999-10-13	italy	5.542
1999-10-14	france	5.556
1999-10-14	germany	5.441
1999-10-14	italy	5.634
1999-10-15	france	5.529
1999-10-15	germany	5.461
1999-10-15	italy	5.66
1999-10-16	france	NA
1999-10-16	germany	5.41
1999-10-16	italy	NA
1999-10-17	france	NA
1999-10-17	germany	5.395
1999-10-17	italy	NA
1999-10-18	france	5.512
1999-10-18	germany	5.379
1999-10-18	italy	5.616
1999-10-19	france	5.529
1999-10-19	germany	5.388
1999-10-19	italy	5.655
1999-10-20	france	5.585
1999-10-20	germany	5.44
1999-10-20	italy	5.688
1999-10-21	france	5.525
1999-10-21	germany	5.409
1999-10-21	italy	5.663
1999-10-22	france	5.515
1999-10-22	germany	5.419
1999-10-22	italy	5.631
1999-10-23	france	NA
1999-10-23	germany	5.411
1999-10-23	italy	NA
1999-10-24	france	NA
1999-10-24	germany	5.404
1999-10-24	italy	NA
1999-10-25	france	5.58
1999-10-25	germany	5.432
1999-10-25	italy	5.677
1999-10-26	france	5.582
1999-10-26	germany	5.432
1999-10-26	italy	5.703
1999-10-27	france	5.453
1999-10-27	germany	5.432
1999-10-27	italy	5.629
1999-10-28	france	5.354
1999-10-28	germany	5.226
1999-10-28	italy	5.541
1999-10-29	france	5.291
1999-10-29	germany	5.209
1999-10-29	italy	5.451
1999-10-30	france	NA
1999-10-30	germany	5.113
1999-10-30	italy	NA
1999-10-31	france	NA
1999-10-31	germany	5.103
1999-10-31	italy	NA
1999-11-01	france	5.254
1999-11-01	germany	5.153
1999-11-01	italy	5.406
1999-11-02	france	5.225
1999-11-02	germany	5.074
1999-11-02	italy	5.37
1999-11-03	france	5.213
1999-11-03	germany	5.128
1999-11-03	italy	5.355
1999-11-04	france	5.143
1999-11-04	germany	5.103
1999-11-04	italy	5.313
1999-11-05	france	5.08
1999-11-05	germany	4.955
1999-11-05	italy	5.232
1999-11-06	france	NA
1999-11-06	germany	4.968
1999-11-06	italy	NA
1999-11-08	france	5.032
1999-11-08	germany	4.988
1999-11-08	italy	5.21
1999-11-09	france	5.05
1999-11-09	germany	4.921
1999-11-09	italy	5.179
1999-11-10	france	5.114
1999-11-10	germany	4.966
1999-11-10	italy	5.229
1999-11-11	france	5.09
1999-11-11	germany	4.972
1999-11-11	italy	5.235
1999-11-12	france	4.986
1999-11-12	germany	4.912
1999-11-12	italy	5.147
1999-11-13	france	NA
1999-11-13	germany	4.859
1999-11-13	italy	NA
1999-11-14	france	NA
1999-11-14	germany	4.881
1999-11-14	italy	NA
1999-11-15	france	5.006
1999-11-15	germany	4.898
1999-11-15	italy	5.145
1999-11-16	france	4.98
1999-11-16	germany	4.873
1999-11-16	italy	5.118
1999-11-17	france	5.078
1999-11-17	germany	4.964
1999-11-17	italy	5.178
1999-11-18	france	5.109
1999-11-18	germany	5.052
1999-11-18	italy	5.247
1999-11-19	france	5.164
1999-11-19	germany	5.026
1999-11-19	italy	5.259
1999-11-20	france	NA
1999-11-20	germany	5.053
1999-11-20	italy	NA
1999-11-22	france	5.216
1999-11-22	germany	5.097
1999-11-22	italy	5.319
1999-11-23	france	5.211
1999-11-23	germany	5.101
1999-11-23	italy	5.301
1999-11-24	france	5.286
1999-11-24	germany	5.152
1999-11-24	italy	5.374
1999-11-25	france	5.29
1999-11-25	germany	5.162
1999-11-25	italy	5.399
1999-11-26	france	5.337
1999-11-26	germany	5.215
1999-11-26	italy	5.459
1999-11-27	france	NA
1999-11-27	germany	5.207
1999-11-27	italy	NA
1999-11-28	france	NA
1999-11-28	germany	5.203
1999-11-28	italy	NA
1999-11-29	france	5.349
1999-11-29	germany	5.195
1999-11-29	italy	5.452
1999-11-30	france	5.312
1999-11-30	germany	5.19
1999-11-30	italy	5.427
1999-12-01	france	5.236
1999-12-01	germany	5.113
1999-12-01	italy	5.353
1999-12-02	france	5.281
1999-12-02	germany	5.184
1999-12-02	italy	5.364
1999-12-03	france	5.268
1999-12-03	germany	5.164
1999-12-03	italy	5.418
1999-12-04	france	NA
1999-12-04	germany	5.139
1999-12-04	italy	NA
1999-12-06	france	5.157
1999-12-06	germany	5.078
1999-12-06	italy	5.301
1999-12-07	france	5.136
1999-12-07	germany	5.028
1999-12-07	italy	5.233
1999-12-08	france	5.194
1999-12-08	germany	5.031
1999-12-08	italy	5.243
1999-12-09	france	5.156
1999-12-09	germany	5.039
1999-12-09	italy	5.247
1999-12-10	france	5.084
1999-12-10	germany	4.969
1999-12-10	italy	5.217
1999-12-11	france	NA
1999-12-11	germany	4.971
1999-12-11	italy	NA
1999-12-12	france	NA
1999-12-12	germany	4.948
1999-12-12	italy	NA
1999-12-13	france	5.125
1999-12-13	germany	5.015
1999-12-13	italy	5.214
1999-12-14	france	5.191
1999-12-14	germany	5.07
1999-12-14	italy	5.276
1999-12-15	france	5.169
1999-12-15	germany	5.066
1999-12-15	italy	5.284
1999-12-16	france	5.268
1999-12-16	germany	5.142
1999-12-16	italy	5.364
1999-12-17	france	5.34
1999-12-17	germany	5.203
1999-12-17	italy	5.479
1999-12-18	france	NA
1999-12-18	germany	5.249
1999-12-18	italy	NA
1999-12-19	france	NA
1999-12-19	germany	5.26
1999-12-19	italy	NA
1999-12-20	france	5.388
1999-12-20	germany	5.243
1999-12-20	italy	5.499
1999-12-21	france	5.352
1999-12-21	germany	5.216
1999-12-21	italy	5.498
1999-12-22	france	5.389
1999-12-22	germany	5.257
