"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Variation %"
"31/12/2004","3,690","3,690","3,690","3,690","-0,83%"
"30/12/2004","3,721","3,721","3,721","3,721","1,03%"
"29/12/2004","3,683","3,683","3,683","3,683","1,77%"
"28/12/2004","3,619","3,619","3,619","3,619","0,72%"
"27/12/2004","3,593","3,593","3,593","3,593","-0,03%"
"24/12/2004","3,594","3,594","3,594","3,594","-0,66%"
"23/12/2004","3,618","3,618","3,618","3,618","0,22%"
"22/12/2004","3,610","3,610","3,610","3,610","0,64%"
"21/12/2004","3,587","3,587","3,587","3,587","-0,69%"
"20/12/2004","3,612","3,612","3,612","3,612","1,35%"
"17/12/2004","3,564","3,564","3,564","3,564","0,96%"
"16/12/2004","3,530","3,530","3,530","3,530","-1,59%"
"15/12/2004","3,587","3,587","3,587","3,587","-0,11%"
"14/12/2004","3,591","3,591","3,591","3,591","-0,25%"
"13/12/2004","3,600","3,600","3,600","3,600","-0,28%"
"10/12/2004","3,610","3,610","3,610","3,610","-0,44%"
"09/12/2004","3,626","3,626","3,626","3,626","-1,39%"
"08/12/2004","3,677","3,677","3,677","3,677","-0,49%"
"07/12/2004","3,695","3,695","3,695","3,695","-1,07%"
"06/12/2004","3,735","3,735","3,735","3,735","-2,25%"
"03/12/2004","3,821","3,821","3,821","3,821","1,54%"
"02/12/2004","3,763","3,763","3,763","3,763","-0,61%"
"01/12/2004","3,786","3,786","3,786","3,786","-0,81%"
"30/11/2004","3,817","3,817","3,817","3,817","1,49%"
"29/11/2004","3,761","3,761","3,761","3,761","-0,27%"
"26/11/2004","3,771","3,771","3,771","3,771","-0,53%"
"25/11/2004","3,791","3,791","3,791","3,791","0,18%"
"24/11/2004","3,784","3,784","3,784","3,784","-0,58%"
"23/11/2004","3,806","3,806","3,806","3,806","-0,68%"
"22/11/2004","3,832","3,832","3,832","3,832","-0,70%"
"19/11/2004","3,859","3,859","3,859","3,859","1,26%"
"18/11/2004","3,811","3,811","3,811","3,811","0,18%"
"17/11/2004","3,804","3,804","3,804","3,804","-0,52%"
"16/11/2004","3,824","3,824","3,824","3,824","0,21%"
